"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"Missouri",2006,5842704,3029689,43032
"Montana",2006,952692,493614,36451
"Nebraska",2006,1772693,970052,47666
"Nevada",2006,2522658,1285318,53527
"New Hampshire",2006,1308389,731854,47701
"New Jersey",2006,8661679,4445879,57835
"New Mexico",2006,1962137,928094,40917
"New York",2006,19104631,9508149,60149
"North Carolina",2006,8917270,4444967,46349
"North Dakota",2006,649422,361459,42913
"Ohio",2006,11481213,5945482,44738
"Oklahoma",2006,3594090,1715794,39155
"Oregon",2006,3670883,1885385,45594
"Pennsylvania",2006,12510809,6294504,45444
"Rhode Island",2006,1063096,572601,47904
"South Carolina",2006,4357847,2109097,37761
"South Dakota",2006,783033,435007,42708
"Tennessee",2006,6088766,3036029,42247
"Texas",2006,23359580,11327995,47876
"Utah",2006,2525507,1318450,44039
"Vermont",2006,622892,357007,41646
"Virginia",2006,7673725,3978641,52765
"Washington",2006,6370753,3323938,52727
"West Virginia",2006,1827912,806168,33935
"Wisconsin",2006,5577655,3058935,45646
"Wyoming",2006,522667,281247,64191
"Alabama",2007,4672840,2175612,37644
"Arizona",2007,6167681,3034016,44199
"Arkansas",2007,2848650,1369284,35889
"California",2007,36250311,17893080,55008
"Colorado",2007,4803868,2664677,51895
"Connecticut",2007,3527270,1856209,69762
"Delaware",2007,871749,443573,66032
"District of Columbia",2007,574404,322237,169268
"Florida",2007,18367842,9157124,43724
"Georgia",2007,9349988,4815818,45763
"Idaho",2007,1505105,754438,37423
"Illinois",2007,12695866,6665601,53015
"Indiana",2007,6379599,3207687,44344
"Iowa",2007,2999212,1660677,47406
"Kansas",2007,2783785,1483458,45206
"Kentucky",2007,4256672,2032082,38185
"Louisiana",2007,4375581,2030434,46890
"Maine",2007,1327040,700468,38822
"Maryland",2007,5653408,2970094,53290
"Massachusetts",2007,6431559,3426009,60787
"Michigan",2007,10001284,5011120,42036
"Minnesota",2007,5207203,2906390,51473
"Mississippi",2007,2928350,1303514,32222
"Missouri",2007,5887612,3034579,42782
"Montana",2007,964706,502070,37765
"Nebraska",2007,1783440,978763,48069
"Nevada",2007,2601072,1330396,52384
"New Hampshire",2007,1312540,737942,47522
"New Jersey",2007,8677885,4441797,57972
"New Mexico",2007,1990070,934027,40413
"New York",2007,19132335,9522056,60291
"North Carolina",2007,9118037,4512856,45285
"North Dakota",2007,652822,367234,44087
"Ohio",2007,11500468,5990292,44584
"Oklahoma",2007,3634349,1726259,39289
"Oregon",2007,3722417,1921766,46385
"Pennsylvania",2007,12563937,6342997,45834
"Rhode Island",2007,1057315,573173,47045
"South Carolina",2007,4444110,2125891,37920
"South Dakota",2007,791623,442499,43740
"Tennessee",2007,6175727,3063669,41241
"Texas",2007,23831983,11431631,49068
"Utah",2007,2597746,1359129,45332
"Vermont",2007,623481,353739,41330
"Virginia",2007,7751000,4036835,52561
"Washington",2007,6461587,3403163,54931
"West Virginia",2007,1834052,811160,33716
"Wisconsin",2007,5610775,3087828,45533
"Wyoming",2007,534876,286560,66302
"Alabama",2008,4718206,2176489,37176
"Arizona",2008,6280362,3104863,42168
"Arkansas",2008,2874554,1375257,35774
"California",2008,36604337,18178123,54713
"Colorado",2008,4889730,2716625,51726
"Connecticut",2008,3545579,1881454,66880
"Delaware",2008,883874,447041,61346
"District of Columbia",2008,580236,330544,172523
"Florida",2008,18527305,9215524,41569
"Georgia",2008,9504843,4879253,44138
"Idaho",2008,1534320,755153,36740
"Illinois",2008,12747038,6657227,51621
"Indiana",2008,6424806,3232097,43760
"Iowa",2008,3016734,1679293,46097
"Kansas",2008,2808076,1499676,45380
"Kentucky",2008,4289878,2030738,37858
"Louisiana",2008,4435586,2084835,46443
"Maine",2008,1330509,701646,38453
"Maryland",2008,5684965,3001953,53471
"Massachusetts",2008,6468967,3452468,60506
"Michigan",2008,9946889,4921466,40097
"Minnesota",2008,5247018,2925088,51441
"Mississippi",2008,2947806,1306772,32334
"Missouri",2008,5923916,3028857,42893
"Montana",2008,976415,509163,37562
"Nebraska",2008,1796378,989757,48159
"Nevada",2008,2653630,1363574,49481
"New Hampshire",2008,1315906,742781,46865
"New Jersey",2008,8711090,4504432,57998
"New Mexico",2008,2010662,944548,41091
"New York",2008,19212436,9664773,58322
"North Carolina",2008,9309449,4560059,45321
"North Dakota",2008,657569,371025,48062
"Ohio",2008,11515391,5965166,43646
"Oklahoma",2008,3668976,1746466,39671
"Oregon",2008,3768748,1955121,48323
"Pennsylvania",2008,12612285,6451535,45819
"Rhode Island",2008,1055003,570328,45853
"South Carolina",2008,4528996,2142232,36929
"South Dakota",2008,799124,446618,45208
"Tennessee",2008,6247411,3054785,41201
"Texas",2008,24309039,11664390,48322
"Utah",2008,2663029,1371201,43576
"Vermont",2008,624151,354899,41498
"Virginia",2008,7833496,4133443,52068
"Washington",2008,6562231,3478577,54740
"West Virginia",2008,1840310,812905,34453
"Wisconsin",2008,5640996,3091796,44742
"Wyoming",2008,546043,293279,69973
"Alabama",2009,4757938,2162999,35643
"Arizona",2009,6343154,3128110,38325
"Arkansas",2009,2896843,1358911,34554
"California",2009,36961229,18215140,51775
"Colorado",2009,4972195,2722982,50296
"Connecticut",2009,3561807,1891077,63472
"Delaware",2009,891730,437500,63219
"District of Columbia",2009,592228,335672,167060
"Florida",2009,18652644,9094825,38704
"Georgia",2009,9620846,4787749,41860
"Idaho",2009,1554439,757131,34631
"Illinois",2009,12796778,6618658,50010
"Indiana",2009,6459325,3193989,40775
"Iowa",2009,3032870,1687411,45038
"Kansas",2009,2832704,1518207,43221
"Kentucky",2009,4317074,2060162,36162
"Louisiana",2009,4491648,2064768,46644
"Maine",2009,1329590,696219,37773
"Maryland",2009,5730388,3032700,52922
"Massachusetts",2009,6517613,3470382,58725
"Michigan",2009,9901591,4903544,37004
"Minnesota",2009,5281203,2941976,49129
"Mississippi",2009,2958774,1269219,31156
"Missouri",2009,5961088,3049563,41867
"Montana",2009,983982,501014,36185
"Nebraska",2009,1812683,991583,47826
"Nevada",2009,2684665,1349299,44505
"New Hampshire",2009,1316102,744227,46106
"New Jersey",2009,8755602,4550645,55300
"New Mexico",2009,2036802,940352,40598
"New York",2009,19307066,9647485,59249
"North Carolina",2009,9449566,4570789,43273
"North Dakota",2009,664968,368665,48670
"Ohio",2009,11528896,5906768,41453
"Oklahoma",2009,3717572,1764432,38568
"Oregon",2009,3808600,1976638,47582
"Pennsylvania",2009,12666858,6400263,44823
"Rhode Island",2009,1053646,567280,45366
"South Carolina",2009,4589872,2152745,35087
"South Dakota",2009,807067,446010,45230
"Tennessee",2009,6306019,3052678,39220
"Texas",2009,24801761,11910799,47233
"Utah",2009,2723421,1365850,42052
"Vermont",2009,624817,359836,40367
"Virginia",2009,7925937,4118171,51707
"Washington",2009,6667426,3535200,52691
"West Virginia",2009,1847775,814027,34358
"Wisconsin",2009,5669264,3100348,43359
"Wyoming",2009,559851,300120,66472
"Alabama",2010,4785161,2196042,36228
"Arizona",2010,6408208,3089705,38170
"Arkansas",2010,2922394,1353338,35344
"California",2010,37334079,18336271,51733
"Colorado",2010,5048254,2724417,50194
"Connecticut",2010,3579717,1911712,63758
"Delaware",2010,899791,434419,63053
"District of Columbia",2010,605126,346065,168377
"Florida",2010,18849890,9212066,38314
"Georgia",2010,9713454,4696676,41561
"Idaho",2010,1570986,761056,34727
"Illinois",2010,12841249,6625321,50290
"Indiana",2010,6490590,3175192,43130
"Iowa",2010,3050694,1678281,45779
"Kansas",2010,2858824,1500764,44236
"Kentucky",2010,4347937,2054375,37523
"Louisiana",2010,4544951,2086076,48305
"Maine",2010,1327695,695182,38256
"Maryland",2010,5788409,3073826,53775
"Massachusetts",2010,6565036,3480083,60311
"Michigan",2010,9877369,4798954,38985
"Minnesota",2010,5310903,2938795,50447
"Mississippi",2010,2970316,1306608,31392
"Missouri",2010,5996052,3056484,42164
"Montana",2010,990643,500525,37156
"Nebraska",2010,1830025,993398,49178
"Nevada",2010,2703440,1358578,43842
"New Hampshire",2010,1316708,738257,47286
"New Jersey",2010,8803881,4555330,55469
"New Mexico",2010,2064741,936088,40316
"New York",2010,19402920,9595362,61444
"North Carolina",2010,9558979,4616691,43281
"North Dakota",2010,674530,378342,51943
"Ohio",2010,11540766,5846886,42299
"Oklahoma",2010,3759596,1768284,38658
"Oregon",2010,3837972,1984039,49686
"Pennsylvania",2010,12712014,6380949,45731
"Rhode Island",2010,1053219,566704,46324
"South Carolina",2010,4635894,2155668,35366
"South Dakota",2010,816299,441339,45443
"Tennessee",2010,6356585,3090795,39664
"Texas",2010,25244363,12241970,47746
"Utah",2010,2775426,1356097,41993
"Vermont",2010,625984,359402,41819
"Virginia",2010,8025787,4157658,52279
"Washington",2010,6743060,3511326,53051
"West Virginia",2010,1854225,811125,35210
"Wisconsin",2010,5690204,3081512,44296
"Wyoming",2010,564516,303297,64625
"Alabama",2011,4801108,2202670,36448
"Arizona",2011,6468732,3037017,38442
"Arkansas",2011,2938538,1362682,35867
"California",2011,37700034,18415100,51936
"Colorado",2011,5119480,2736079,50069
"Connecticut",2011,3589759,1914775,63092
"Delaware",2011,907916,443346,63603
"District of Columbia",2011,620472,350778,167337
"Florida",2011,19105533,9300542,37529
"Georgia",2011,9812280,4748754,41592
"Idaho",2011,1584134,765178,34481
"Illinois",2011,12861882,6586893,51172
"Indiana",2011,6516845,3181991,43109
"Iowa",2011,3065389,1662376,46693
"Kansas",2011,2869917,1491087,45697
"Kentucky",2011,4367882,2056410,38007
"Louisiana",2011,4575381,2073217,45813
"Maine",2011,1328257,699281,37798
"Maryland",2011,5844171,3096561,54062
"Massachusetts",2011,6611797,3469308,61230
"Michigan",2011,9876589,4685164,39953
"Minnesota",2011,5348119,2946279,51268
"Mississippi",2011,2977999,1342808,31111
"Missouri",2011,6010587,3047786,41564
"Montana",2011,997746,501225,38198
"Nebraska",2011,1842383,1003256,50900
"Nevada",2011,2718819,1373115,43886
"New Hampshire",2011,1318344,736302,47697
"New Jersey",2011,8842934,4565272,54775
"New Mexico",2011,2078226,930356,40227
"New York",2011,19523202,9517361,61290
"North Carolina",2011,9651025,4633072,43302
"North Dakota",2011,685326,388634,57012
"Ohio",2011,11545442,5771469,43610
"Oklahoma",2011,3786626,1772666,40303
"Oregon",2011,3868509,1993889,51362
"Pennsylvania",2011,12745202,6395506,46239
"Rhode Island",2011,1051856,560056,46244
"South Carolina",2011,4672733,2175523,35812
"South Dakota",2011,824289,440934,48195
"Tennessee",2011,6398408,3125307,40465
"Texas",2011,25654464,12504498,48595
"Utah",2011,2816440,1350444,42521
"Vermont",2011,626687,358108,42962
"Virginia",2011,8110783,4211802,52093
"Washington",2011,6823229,3461428,52822
"West Virginia",2011,1854948,807021,36048
"Wisconsin",2011,5709720,3079759,45115
"Wyoming",2011,567768,306815,64163
"Alabama",2012,4816089,2174972,36695
"Arizona",2012,6553262,3031199,38732
"Arkansas",2012,2949499,1342327,35753
"California",2012,38056055,18551413,52660
"Colorado",2012,5191731,2759437,50547
"Connecticut",2012,3593541,1888336,63178
"Delaware",2012,917099,445708,62327
"District of Columbia",2012,635342,365055,163461
"Florida",2012,19352021,9391203,37702
"Georgia",2012,9917639,4788068,41740
"Idaho",2012,1596097,769617,34355
"Illinois",2012,12875167,6584691,52264
"Indiana",2012,6538283,3171569,43056
"Iowa",2012,3076636,1649169,48254
"Kansas",2012,2886281,1483574,45701
"Kentucky",2012,4382667,2058982,38310
"Louisiana",2012,4603676,2080664,45813
"Maine",2012,1328888,702799,37748
"Maryland",2012,5890740,3120678,53824
"Massachusetts",2012,6657780,3486326,62205
"Michigan",2012,9886879,4672484,40537
"Minnesota",2012,5380443,2958273,51598
"Mississippi",2012,2985660,1317447,31990
"Missouri",2012,6025468,3016161,41756
"Montana",2012,1005157,506446,38318
"Nebraska",2012,1855973,1015555,50733
"Nevada",2012,2754874,1378094,43209
"New Hampshire",2012,1321393,741031,47990
"New Jersey",2012,8874893,4585318,55571
"New Mexico",2012,2084792,928739,40226
"New York",2012,19606981,9617611,62777
"North Carolina",2012,9747021,4680265,42746
"North Dakota",2012,702265,397812,67753
"Ohio",2012,11551783,5706059,44394
"Oklahoma",2012,3817679,1804071,41769
"Oregon",2012,3899444,1954098,49403
"Pennsylvania",2012,12772789,6463922,46648
"Rhode Island",2012,1052393,558392,46681
"South Carolina",2012,4721341,2184113,35512
"South Dakota",2012,834631,442575,47171
"Tennessee",2012,6455469,3103047,41469
"Texas",2012,26089741,12682204,50356
"Utah",2012,2856343,1373479,42282
"Vermont",2012,626398,354849,42978
"Virginia",2012,8193374,4225252,51942
"Washington",2012,6897292,3472727,53622
"West Virginia",2012,1856283,807595,35479
"Wisconsin",2012,5726422,3074339,45639
"Wyoming",2012,577080,307425,60362
"Alabama",2013,4830533,2167238,36865
"Arizona",2013,6630799,3039865,38303
"Arkansas",2013,2957957,1307986,36571
"California",2013,38414128,18670058,53487
"Colorado",2013,5271132,2780536,50807
"Connecticut",2013,3597168,1872031,62847
"Delaware",2013,925353,442518,61004
"District of Columbia",2013,649540,373835,159340
"Florida",2013,19594467,9460552,38090
"Georgia",2013,9991562,4759506,42082
"Idaho",2013,1612785,772513,34838
"Illinois",2013,12889580,6561142,51812
"Indiana",2013,6570518,3193427,43774
"Iowa",2013,3092224,1672399,48285
"Kansas",2013,2894630,1485405,45173
"Kentucky",2013,4398500,2058186,38564
"Louisiana",2013,4627491,2106424,44408
"Maine",2013,1328778,707623,37447
"Maryland",2013,5936040,3127825,53342
"Massachusetts",2013,6708810,3513565,61352
"Michigan",2013,9900506,4729625,41117
"Minnesota",2013,5420541,2971523,52479
"Mississippi",2013,2990976,1271436,31777
"Missouri",2013,6043708,3011601,42231
"Montana",2013,1014402,513255,38395
"Nebraska",2013,1869300,1019345,51694
"Nevada",2013,2790366,1385312,42505
"New Hampshire",2013,1322660,741937,47975
"New Jersey",2013,8907384,4528492,55562
"New Mexico",2013,2086890,923685,39808
"New York",2013,19691032,9636411,62610
"North Carolina",2013,9845432,4683022,42852
"North Dakota",2013,723626,406602,67041
"Ohio",2013,11572232,5717133,44736
"Oklahoma",2013,3853405,1806829,42475
"Oregon",2013,3928030,1909842,48323
"Pennsylvania",2013,12783536,6440444,47159
"Rhode Island",2013,1052856,557256,46909
"South Carolina",2013,4768498,2189368,35519
"South Dakota",2013,845270,444880,47172
"Tennessee",2013,6496130,3077048,41642
"Texas",2013,26500674,12891255,51695
"Utah",2013,2903685,1409366,42796
"Vermont",2013,627129,351342,42771
"Virginia",2013,8267875,4239491,51347
"Washington",2013,6973281,3464760,53760
"West Virginia",2013,1852985,798953,36038
"Wisconsin",2013,5743653,3083790,45811
"Wyoming",2013,583131,306571,59961
"Alabama",2014,4846411,2161313,37083
"Arizona",2014,6728783,3097112,38438
"Arkansas",2014,2966835,1304141,37252
"California",2014,38792291,18827925,54606
"Colorado",2014,5355588,2815200,52060
"Connecticut",2014,3594762,1886398,63650
"Delaware",2014,935968,453631,62904
"District of Columbia",2014,659836,378082,159831
"Florida",2014,19905569,9606715,38497
"Georgia",2014,10097132,4753765,42694
"Idaho",2014,1634806,781390,35083
"Illinois",2014,12882189,6515198,52359
"Indiana",2014,6597880,3227970,44539
"Iowa",2014,3109481,1697712,49397
"Kansas",2014,2902507,1494188,45570
"Kentucky",2014,4412617,2005603,38860
"Louisiana",2014,4648990,2156737,45067
"Maine",2014,1330256,696578,37807
"Maryland",2014,5975346,3128296,53879
"Massachusetts",2014,6755124,3557362,62145
"Michigan",2014,9916306,4754282,41695
"Minnesota",2014,5457125,2982750,53499
"Mississippi",2014,2993443,1249288,31651
"Missouri",2014,6063827,3051812,42582
"Montana",2014,1023252,515947,38820
"Nebraska",2014,1882980,1013899,52317
"Nevada",2014,2838281,1401801,43216
"New Hampshire",2014,1327996,740609,48982
"New Jersey",2014,8938844,4513600,55841
"New Mexico",2014,2085567,921380,40866
"New York",2014,19748858,9595304,63217
"North Carolina",2014,9940387,4690562,43332
"North Dakota",2014,740040,415286,69550
"Ohio",2014,11596998,5702698,46137
"Oklahoma",2014,3879610,1797934,43588
"Oregon",2014,3971202,1939396,48264
"Pennsylvania",2014,12793767,6391421,48203
"Rhode Island",2014,1054907,555955,47852
"South Carolina",2014,4829160,2216782,35962
"South Dakota",2014,853304,448631,46917
"Tennessee",2014,6547779,3046632,41955
"Texas",2014,26979078,13022851,52742
"Utah",2014,2944498,1431553,43154
"Vermont",2014,626767,347898,43435
"Virginia",2014,8328098,4257986,51101
"Washington",2014,7063166,3492866,54662
"West Virginia",2014,1848751,789850,36337
"Wisconsin",2014,5759432,3086365,46676
"Wyoming",2014,584304,306933,60189
"Alabama",2015,4858979,2146157,37597
"Arizona",2015,6828065,3152708,38244
"Arkansas",2015,2978204,1330099,37644
"California",2015,39144818,18981770,56365
"Colorado",2015,5456574,2828529,52920
"Connecticut",2015,3590886,1888001,64115
"Delaware",2015,945934,467472,63463
"District of Columbia",2015,672228,388388,160563
"Florida",2015,20271272,9675328,38950
"Georgia",2015,10214860,4770873,43301
"Idaho",2015,1654930,797475,35305
"Illinois",2015,12859995,6512386,53640
"Indiana",2015,6619680,3265761,45136
"Iowa",2015,3123899,1701329,49500
"Kansas",2015,2911641,1499009,45558
"Kentucky",2015,4425092,1953393,39181
"Louisiana",2015,4670724,2160195,45606
"Maine",2015,1329328,679756,37958
"Maryland",2015,6006401,3151929,54388
"Massachusetts",2015,6794422,3569956,62918
"Michigan",2015,9922576,4750627,42226
"Minnesota",2015,5489594,3010367,54431
"Mississippi",2015,2992333,1272657,31894
"Missouri",2015,6083672,3113760,42984
"Montana",2015,1032949,522727,39792
"Nebraska",2015,1896190,1012973,52996
"Nevada",2015,2890845,1425711,43632
"New Hampshire",2015,1330608,741192,49225
"New Jersey",2015,8958013,4543777,56721
"New Mexico",2015,2085109,919889,41166
"New York",2015,19795791,9679321,63929
"North Carolina",2015,10042802,4769245,44054
"North Dakota",2015,756927,414344,66507
"Ohio",2015,11613423,5700344,46867
"Oklahoma",2015,3911338,1842049,43788
"Oregon",2015,4028977,1969466,49482
"Pennsylvania",2015,12802503,6423903,48944
"Rhode Island",2015,1056298,554558,48329
"South Carolina",2015,4896146,2257077,36174
"South Dakota",2015,858469,452300,47460
"Tennessee",2015,6600299,3062775,42457
"Texas",2015,27469114,13078304,53707
"Utah",2015,2995919,1464404,43798
"Vermont",2015,626042,344414,43553
"Virginia",2015,8382993,4240470,51480
"Washington",2015,7170351,3544242,55403
"West Virginia",2015,1844128,785049,36486
"Wisconsin",2015,5771337,3095376,47414
"Wyoming",2015,586107,306012,60231
